Food Name,Cholesterol
Ackee canned drained,0.0
Agar dried,0.0
Agar dried soaked and drained,0.0
Alfalfa sprouts raw,0.0
Allspice ground,0.0
Almonds flaked and ground,0.0
Almonds toasted,0.0
Almonds weighed with shells,0.0
Almonds whole kernels,0.0
Amaranth leaves boiled in unsalted water,0.0
Amaranth leaves raw,0.0
Amla,0.0
Anchovies canned in oil drained,63.0
Anise seeds,0.0
Apple juice concentrate unsweetened commerical,0.0
Apple juice clear ambient and chilled,0.0
Apple sauce homemade,0.0
Apples cooking baked with sugar flesh only,0.0
Apples cooking baked with sugar flesh only weighed with skin,0.0
Apples cooking baked without sugar flesh only,0.0
Apples cooking baked without sugar flesh only weighed with skin,0.0
Apples cooking raw flesh only peeled,0.0
Apples cooking raw flesh only weighed with skin and core,0.0
Apples cooking stewed with sugar flesh only,0.0
Apples cooking stewed without sugar flesh only,0.0
Apples eating dried,0.0
Apples eating raw flesh and skin,0.0
Apples eating raw flesh and skin weighed with core,0.0
Apricots dried,0.0
Apricots dried stewed with sugar,0.0
Apricots dried stewed without sugar,0.0
Apricots raw flesh and skin,0.0
Apricots raw flesh and skin weighed with stones,0.0
Apricots ready-to-eat semi-dried,0.0
Apricots stewed with sugar,0.0
Apricots stewed with sugar weighed with stones,0.0
Apricots stewed without sugar,0.0
Apricots stewed without sugar weighed with stones,0.0
Arrowhead boiled in unsalted water,0.0
Arrowhead raw,0.0
Arrowroot,0
Artichoke globe base of leaves and heart boiled in unsalted water,0.0
Artichoke globe boiled weighed as served,0.0
Artichoke globe raw,0.0
Artichoke Jerusalem boiled in unsalted water flesh only,0.0
Asafoetida,0.0
Asparagus grilled,0.0
Asparagus raw,0.0
Asparagus roasted in rapeseed oil,0.0
Asparagus steamed,0.0
Aubergine flesh and skin boiled in unsalted water,0.0
Aubergine flesh and skin roasted in rapeseed oil,0.0
Aubergine fried in butter,73.0
Aubergine fried in corn oil,0.0
Aubergine fried in rapeseed oil,0.0
Aubergine raw,0.0
Aubergine stuffed with lentils and vegetables,0.0
Aubergine stuffed with rice,0.0
Aubergine stuffed with vegetables cheese topping,13.9
Avocado Fuerte flesh only,0.0
Avocado Fuerte flesh only weighed with skin and stone,0.0
Avocado Hass flesh only,0.0
Avocado Hass flesh only weighed with skin and stone,0.0
Ayr raw,0
Babaco flesh only,0.0
Bacha raw,0
Bacon loin steaks lean grilled,31.0
Bacon rashers back dry-cured grilled,57.0
Bacon rashers back dry-fried,65.0
Bacon rashers back fat trimmed grilled,44.0
Bacon rashers back fat trimmed raw,31.0
Bacon rashers back grilled,75.0
Bacon rashers back grilled crispy,68.0
Bacon rashers back microwaved,84.0
Bacon rashers back raw,53.0
Bacon rashers back reduced salt grilled,74.0
Bacon rashers back smoked grilled,80.0
Bacon rashers back sweetcure grilled,63.0
Bacon rashers back 'tendersweet' grilled,43.0
Bacon rashers middle fried in corn oil,84.0
Bacon rashers middle grilled,83.0
Bacon rashers middle raw,58.0
Bacon rashers streaky fried in corn oil,78.0
Bacon rashers streaky grilled,90.0
Bacon rashers streaky raw,65.0
Bacon fat only average cooked,270.0
Bacon fat only average raw,198.0
Bagels plain,0.0
Baked beans canned in barbecue sauce,0.0
Baked beans canned in tomato sauce,0.0
Baked beans canned in tomato sauce reduced sugar reduced salt,0.0
Baked beans canned in tomato sauce with pork sausages,0
Baking fat and margarine (75-90% fat) hard block,15.0
Baking powder,0.0
Banana bread homemade,30.8
Banana split homemade,24.4
Bananas flesh only,0.0
Bananas raw flesh only weighed with skin,0.0
Bannocks made with beremeal homemade,0.8
Bannocks made with wheat flour homemade,0.8
Barbecue sauce,0.0
Barbecue sauce homemade,50.7
Barcelona nuts Kernel only,0.0
Barcelona nuts kernel only weighed with shells,0.0
Barley water diluted,0.0
Barley water undiluted,0.0
Barley pearl boiled,0
Barley pearl raw,0
Basil dried ground,0.0
Basil fresh,0.0
Bass sea flesh only baked,49.0
Bass sea flesh only baked weighed with bones and skin,43.6
Bass sea flesh only raw,71.0
Bass sea flesh only raw weighed with bones and skin,61.0
Bay leaf dried,0.0
Bean loaf mixed beans homemade,0.0
Beanburger aduki fried in rapeseed oil homemade,30.6
Beanburger butter bean fried in rapeseed oil homemade,0.0
Beanburger red kidney bean fried in rapeseed oil,0.0
Beanburger soya fried in rapeseed oil,29.2
Beans aduki whole dried boiled in unsalted water,0.0
Beans aduki whole dried raw,0.0
Beans balor ends trimmed raw,0.0
Beans blackeye whole dried boiled in unsalted water,0.0
Beans blackeye whole dried raw,0.0
Beans broad dried raw,0.0
Beans broad whole boiled in unsalted water,0.0
Beans broad whole raw,0.0
Beans butter canned re-heated drained,0.0
Beans butter dried boiled in unsalted water,0.0
Beans butter dried raw,0.0
Beans cannellini canned re-heated drained,0.0
Beans chick peas canned re-heated drained,0.0
Beans chick peas Kabuli split dried boiled in unsalted water,0.0
Beans chick peas Kabuli split dried raw,0.0
Beans chick peas Kabuli whole dried boiled in unsalted water,0.0
Beans chick peas Kabuli whole dried raw,0.0
Beans cluster raw,0.0
Beans edamame frozen boiled in unsalted water,0.0
Beans green boiled in unsalted water,0.0
Beans green raw,0.0
Beans haricot canned re-heated drained,0.0
Beans haricot whole dried boiled in unsalted water,0.0
Beans haricot whole dried raw,0.0
Beans mung dahl dried boiled in unsalted water,0.0
Beans mung dahl dried raw,0.0
Beans mung whole dried boiled in unsalted water,0.0
Beans mung whole dried raw,0.0
Beans papri raw,0.0
Beans pigeon peas dahl dried boiled in unsalted water,0.0
Beans pigeon peas dahl dried raw,0.0
Beans pigeon peas whole dried boiled in unsalted water,0.0
Beans pigeon peas whole dried raw,0.0
Beans pinto dried boiled in unsalted water,0.0
Beans pinto dried raw,0.0
Beans pinto re-fried beans,0.0
Beans red kidney canned in water re-heated drained,0.0
Beans red kidney dried boiled in unsalted water,0.0
Beans red kidney dried raw,0.0
Beans runner boiled in unsalted water,0.0
Beans runner raw,0.0
Beans soya dried boiled in unsalted water,0.0
Beans soya dried raw,0.0
Beans sword raw,0.0
Beansprouts mung boiled in unsalted water,0.0
Beansprouts mung raw,0.0
Beansprouts mung stir-fried in rapeseed oil,0.0
Beef bourguignon homemade,41.9
Beef bourguignonne made with lean beef homemade,40.1
Beef extract,0
Beef olives homemade,34.6
Beef steak pudding homemade,34.1
Beef Stroganoff homemade,60.9
Beef Wellington homemade,54.0
Beef braising steak braised lean and fat,100.0
Beef braising steak braised lean only,100.0
Beef braising steak raw lean,63.0
Beef braising steak raw lean and fat,62.0
Beef braising steak slow cooked lean,90.0
Beef braising steak slow cooked lean and fat,87.0
Beef brisket boiled lean,77.0
Beef brisket boiled lean and fat,76.0
Beef brisket raw lean,54.0
Beef brisket raw lean and fat,53.0
Beef fat average cooked,97.0
Beef fat average raw,72.0
Beef fat average raw extra trimmed,0
Beef fillet steak fried in corn oil lean,81.0
Beef fillet steak fried in corn oil lean and fat,83.0
Beef fillet steak from steakhouse lean,79.0
Beef fillet steak from steakhouse lean and fat,81.0
Beef fillet steak grilled lean,71.0
Beef fillet steak grilled lean and fat,72.0
Beef fillet steak raw lean,61.0
Beef fillet steak raw lean and fat,65.0
Beef flank pot-roasted lean,91.0
Beef flank pot-roasted lean and fat,88.0
Beef flank raw lean,58.0
Beef flank raw lean and fat,60.0
Beef fore-rib/rib-roast microwaved lean,85.0
Beef fore-rib/rib-roast microwaved lean and fat,87.0
Beef fore-rib/rib-roast microwaved lean and fat weighed with bone,72.0
Beef fore-rib/rib-roast raw lean,56.0
Beef fore-rib/rib-roast raw lean and fat,59.0
Beef fore-rib/rib-roast roasted lean,81.0
Beef fore-rib/rib-roast roasted lean and fat,83.0
Beef fore-rib/rib-roast roasted lean and fat weighed with bone,70.0
Beef lean average raw,58.0
Beef lean average raw extra trimmed,0
Beef mince patties barbecued,90.0
Beef mince extra lean stewed,36.2
Beef mince frozen stewed,58.0
Beef mince microwaved,80.0
Beef mince raw,60.0
Beef mince raw extra lean,37.0
Beef mince stewed,31.5
Beef mince stewed,79.0
Beef mince with vegetables stewed,25.5
Beef minced stewed with onions extra lean,19.4
Beef rump steak barbecued lean,76.0
Beef rump steak barbecued lean and fat,76.0
Beef rump steak fried in corn oil lean and fat,84.0
Beef rump steak fried in corn oil lean only,86.0
Beef rump steak from steakhouse lean and fat,74.0
Beef rump steak from steakhouse lean only,73.0
Beef rump steak grilled lean only,76.0
Beef rump steak raw lean,59.0
Beef rump steak raw lean and fat,60.0
Beef rump steak strips stir-fried in corn oil lean,92.0
Beef rump steak strips stir-fried in corn oil lean and fat,91.0
Beef silverside pot-roasted lean,93.0
Beef silverside pot-roasted lean and fat,92.0
Beef silverside raw lean,61.0
Beef silverside raw lean and fat,57.0
Beef silverside salted boiled lean,74.0
Beef silverside salted boiled lean and fat,73.0
Beef silverside salted raw lean,49.0
Beef silverside salted raw lean and fat,45.0
Beef sirloin joint roasted lean,79.0
Beef sirloin joint roasted lean and fat,85.0
Beef sirloin steak fried in corn oil lean,82.0
Beef sirloin steak fried in corn oil lean and fat,89.0
Beef sirloin steak from steakhouse lean,77.0
Beef sirloin steak from steakhouse lean and fat,83.0
Beef sirloin steak grilled medium-rare lean,67.0
Beef sirloin steak grilled medium-rare lean and fat,70.0
Beef sirloin steak grilled rare lean,64.0
Beef sirloin steak grilled rare lean and fat,74.0
Beef sirloin steak grilled well-done lean,83.0
Beef sirloin steak grilled well-done lean and fat,87.0
Beef sirloin steak raw lean,51.0
Beef sirloin steak raw lean and fat,57.0
Beef stewing steak frozen stewed lean,85.0
Beef stewing steak frozen stewed lean and fat,82.0
Beef stewing steak pressure cooked lean,100.0
Beef stewing steak pressure cooked lean and fat,105.0
Beef stewing steak raw lean,67.0
Beef stewing steak raw lean and fat,69.0
Beef stewing steak stewed lean,91.0
Beef stewing steak stewed lean and fat,91.0
Beef stir-fried with green peppers homemade,32.5
Beef topside microwaved lean,85.0
Beef topside microwaved lean and fat,82.0
Beef topside raw lean,50.0
Beef topside raw lean and fat,48.0
Beef topside roasted medium-rare lean,68.0
Beef topside roasted medium-rare lean and fat,71.0
Beef topside roasted well-done lean,88.0
Beef topside roasted well-done lean and fat,83.0
Beer bitter average (<4% ABV),0.0
Beer bitter best premium,0.0
Beer bitter strong (>5% ABV),0.0
Beetroot cooked in unsalted water,0.0
Beetroot pickled drained,0.0
Beetroot raw,0.0
Bele raw,0
Betel leaves fresh,0.0
Betel nuts,0.0
Bhaji aubergine and potato homemade,0.0
Bhaji aubergine pea potato and cauliflower homemade,0.0
Bhaji cabbage and pea with butter ghee homemade,34.5
Bhaji cabbage and pea with rapeseed oil homemade,0.0
Bhaji cabbage and potato with butter homemade,14.1
Bhaji cabbage and potato with rapeseed oil homemade,0.0
Bhaji cabbage and potato with vegetable oil,0.0
Bhaji cabbage and spinach,0.0
Bhaji cabbage homemade,0.0
Bhaji carrot potato and pea with butter homemade,16.0
Bhaji carrot potato and pea with vegetable oil homemade,0.0
Bhaji cauliflower and potato homemade,0.0
Bhaji cauliflower and vegetable homemade,21.2
Bhaji cauliflower homemade,0.0
Bhaji cauliflower potato and pea with butter,29.0
Bhaji cauliflower potato and pea with vegetable oil,0.0
Bhaji green bean,0.0
Bhaji karela with butter ghee homemade,27.0
Bhaji karela with vegetable oil homemade,0.0
Bhaji mushroom homemade,0.0
Bhaji mustard leaves and spinach homemade,15.2
Bhaji mustard leaves homemade,15.2
Bhaji okra Bangladeshi with butter ghee homemade,14.0
Bhaji okra Bangladeshi with vegetable oil homemade,0.0
Bhaji okra Islami homemade,0.0
Bhaji pea homemade,86.8
Bhaji potato and fenugreek leaves homemade,0.0
Bhaji potato and green pepper homemade,0.0
Bhaji potato and onion homemade,25.8
Bhaji potato onion and mushroom homemade,0.0
Bhaji potato spinach and cauliflower homemade,40.0
Bhaji potato with butter ghee homemade,23.8
Bhaji potato with vegetable oil homemade,0.0
Bhaji spinach and potato homemade,0.0
Bhaji spinach homemade,15.2
Bhaji turnip and onion homemade,26.1
Bhaji turnip homemade,40.2
Bhaji vegetable Punjabi with butter,17.0
Bhaji vegetable Punjabi with vegetable oil,0.0
Bhaji vegetable with butter homemade,38.5
Bhaji vegetable with rapeseed oil homemade,0.0
Bicarbonate of soda,0.0
Biryani chicken takeaway,20.6
Biscuits cheese flavoured,18.4
Biscuits cookies chocolate chip American style,35.5
Biscuits cookies chocolate chip standard,2.9
Biscuits digestive half coated in chocolate,6.1
Biscuits digestive plain,2.4
Biscuits digestive with oats plain,9.5
Biscuits fully coated with chocolate,16.6
Biscuits fully coated with chocolate with cream,18.3
Biscuits fully coated with chocolate with marshmallow,5.7
Biscuits ginger nuts,2.6
Biscuits gingernut homemade,49.4
Biscuits iced,6.9
