Food Name,Energy
Ackee canned drained,151
Agar dried,16
Agar dried soaked and drained,2
Alfalfa sprouts raw,24
Allspice ground,0
Almonds flaked and ground,612
Almonds toasted,579
Almonds weighed with shells,205
Almonds whole kernels,554
Amaranth leaves boiled in unsalted water,16
Amaranth leaves raw,18
Amla,58
Anchovies canned in oil drained,191
Anise seeds,0
Apple juice concentrate unsweetened commerical,223
Apple juice clear ambient and chilled,37
Apple sauce homemade,79
Apples cooking baked with sugar flesh only,69
Apples cooking baked with sugar flesh only weighed with skin,57
Apples cooking baked without sugar flesh only,47
Apples cooking baked without sugar flesh only weighed with skin,40
Apples cooking raw flesh only peeled,37
Apples cooking raw flesh only weighed with skin and core,27
Apples cooking stewed with sugar flesh only,81
Apples cooking stewed without sugar flesh only,40
Apples eating dried,238
Apples eating raw flesh and skin,51
Apples eating raw flesh and skin weighed with core,43
Apricots dried,188
Apricots dried stewed with sugar,92
Apricots dried stewed without sugar,77
Apricots raw flesh and skin,31
Apricots raw flesh and skin weighed with stones,29
Apricots ready-to-eat semi-dried,161
Apricots stewed with sugar,72
Apricots stewed with sugar weighed with stones,67
Apricots stewed without sugar,27
Apricots stewed without sugar weighed with stones,25
Arrowhead boiled in unsalted water,91
Arrowhead raw,107
Arrowroot,355
Artichoke globe base of leaves and heart boiled in unsalted water,18
Artichoke globe boiled weighed as served,8
Artichoke globe raw,18
Artichoke Jerusalem boiled in unsalted water flesh only,41
Asafoetida,0
Asparagus grilled,25
Asparagus raw,25
Asparagus roasted in rapeseed oil,35
Asparagus steamed,21
Aubergine flesh and skin boiled in unsalted water,14
Aubergine flesh and skin roasted in rapeseed oil,62
Aubergine fried in butter,302
Aubergine fried in corn oil,302
Aubergine fried in rapeseed oil,302
Aubergine raw,15
Aubergine stuffed with lentils and vegetables,64
Aubergine stuffed with rice,86
Aubergine stuffed with vegetables cheese topping,119
Avocado Fuerte flesh only,189
Avocado Fuerte flesh only weighed with skin and stone,134
Avocado Hass flesh only,171
Avocado Hass flesh only weighed with skin and stone,118
Ayr raw,75
Babaco flesh only,17
Bacha raw,123
Bacon loin steaks lean grilled,158
Bacon rashers back dry-cured grilled,257
Bacon rashers back dry-fried,295
Bacon rashers back fat trimmed grilled,214
Bacon rashers back fat trimmed raw,136
Bacon rashers back grilled,287
Bacon rashers back grilled crispy,313
Bacon rashers back microwaved,307
Bacon rashers back raw,215
Bacon rashers back reduced salt grilled,282
