Food Name,Fat
Ackee canned drained,15.2
Agar dried,1.2
Agar dried soaked and drained,0.1
Alfalfa sprouts raw,0.7
Allspice ground,8.7
Almonds flaked and ground,55.8
Almonds toasted,52.5
Almonds weighed with shells,18.5
Almonds whole kernels,49.9
Amaranth leaves boiled in unsalted water,0.3
Amaranth leaves raw,0.3
Amla,0.1
Anchovies canned in oil drained,10.0
Anise seeds,15.9
Apple juice concentrate unsweetened commerical,0.6
Apple juice clear ambient and chilled,0
Apple sauce homemade,0.2
Apples cooking baked with sugar flesh only,0.4
Apples cooking baked with sugar flesh only weighed with skin,0.3
Apples cooking baked without sugar flesh only,0.4
Apples cooking baked without sugar flesh only weighed with skin,0.3
Apples cooking raw flesh only peeled,0.3
Apples cooking raw flesh only weighed with skin and core,0.2
Apples cooking stewed with sugar flesh only,0.3
Apples cooking stewed without sugar flesh only,0.3
Apples eating dried,0.5
Apples eating raw flesh and skin,0.5
Apples eating raw flesh and skin weighed with core,0.4
Apricots dried,0.7
Apricots dried stewed with sugar,0.3
Apricots dried stewed without sugar,0.3
Apricots raw flesh and skin,0.1
Apricots raw flesh and skin weighed with stones,0.1
Apricots ready-to-eat semi-dried,0.5
Apricots stewed with sugar,0.1
Apricots stewed with sugar weighed with stones,0.1
Apricots stewed without sugar,0.1
Apricots stewed without sugar weighed with stones,0.1
Arrowhead boiled in unsalted water,0.3
Arrowhead raw,0.3
Arrowroot,0.1
Artichoke globe base of leaves and heart boiled in unsalted water,0.2
Artichoke globe boiled weighed as served,0.1
Artichoke globe raw,0.2
Artichoke Jerusalem boiled in unsalted water flesh only,0.1
Asafoetida,1.1
Asparagus grilled,0.4
Asparagus raw,0.6
Asparagus roasted in rapeseed oil,1.5
Asparagus steamed,0.4
Aubergine flesh and skin boiled in unsalted water,0.5
Aubergine flesh and skin roasted in rapeseed oil,3.8
Aubergine fried in butter,31.9
Aubergine fried in corn oil,31.9
Aubergine fried in rapeseed oil,31.9
Aubergine raw,0.4
Aubergine stuffed with lentils and vegetables,4.6
Aubergine stuffed with rice,2.1
Aubergine stuffed with vegetables cheese topping,9.7
Avocado Fuerte flesh only,19.3
Avocado Fuerte flesh only weighed with skin and stone,13.7
Avocado Hass flesh only,17.4
Avocado Hass flesh only weighed with skin and stone,12.0
Ayr raw,1.3
Babaco flesh only,0.1
Bacha raw,5.6
Bacon loin steaks lean grilled,4.3
Bacon rashers back dry-cured grilled,15.9
Bacon rashers back dry-fried,22.0
Bacon rashers back fat trimmed grilled,12.3
Bacon rashers back fat trimmed raw,6.7
Bacon rashers back grilled,21.6
Bacon rashers back grilled crispy,18.8
Bacon rashers back microwaved,23.3
Bacon rashers back raw,16.5
Bacon rashers back reduced salt grilled,20.6
Bacon rashers back smoked grilled,22.1
Bacon rashers back sweetcure grilled,17.4
Bacon rashers back 'tendersweet' grilled,11.9
Bacon rashers middle fried in corn oil,28.5
Bacon rashers middle grilled,23.1
Bacon rashers middle raw,20.0
Bacon rashers streaky fried in corn oil,26.6
Bacon rashers streaky grilled,26.9
Bacon rashers streaky raw,23.6
Bacon fat only average cooked,72.8
Bacon fat only average raw,80.9
Bagels plain,1.8
Baked beans canned in barbecue sauce,0.4
Baked beans canned in tomato sauce,0.5
Baked beans canned in tomato sauce reduced sugar reduced salt,0.5
Baked beans canned in tomato sauce with pork sausages,4.5
Baking fat and margarine (75-90% fat) hard block,76.4
Baking powder,0.0
Banana bread homemade,12.4
Banana split homemade,11.8
Bananas flesh only,0.1
Bananas raw flesh only weighed with skin,0
Bannocks made with beremeal homemade,1.7
Bannocks made with wheat flour homemade,1.3
Barbecue sauce,0.1
Barbecue sauce homemade,21.0
Barcelona nuts Kernel only,64.0
Barcelona nuts kernel only weighed with shells,39.7
Barley water diluted,0
Barley water undiluted,0
Barley pearl boiled,0.6
Barley pearl raw,1.7
Basil dried ground,4.0
Basil fresh,0.8
Bass sea flesh only baked,6.8
Bass sea flesh only baked weighed with bones and skin,6.1
Bass sea flesh only raw,9.8
Bass sea flesh only raw weighed with bones and skin,8.4
Bay leaf dried,8.4
Bean loaf mixed beans homemade,7.2
Beanburger aduki fried in rapeseed oil homemade,7.3
Beanburger butter bean fried in rapeseed oil homemade,10.6
Beanburger red kidney bean fried in rapeseed oil,10.7
Beanburger soya fried in rapeseed oil,10.7
Beans aduki whole dried boiled in unsalted water,0.2
Beans aduki whole dried raw,0.5
Beans balor ends trimmed raw,0.1
Beans blackeye whole dried boiled in unsalted water,0.7
Beans blackeye whole dried raw,1.6
Beans broad dried raw,2.1
Beans broad whole boiled in unsalted water,1.0
Beans broad whole raw,1.0
Beans butter canned re-heated drained,0.5
Beans butter dried boiled in unsalted water,1.1
Beans butter dried raw,1.7
Beans cannellini canned re-heated drained,1.6
Beans chick peas canned re-heated drained,3.0
Beans chick peas Kabuli split dried boiled in unsalted water,2.0
Beans chick peas Kabuli split dried raw,5.4
Beans chick peas Kabuli whole dried boiled in unsalted water,3.0
Beans chick peas Kabuli whole dried raw,5.4
Beans cluster raw,0.1
Beans edamame frozen boiled in unsalted water,7.6
Beans green boiled in unsalted water,0.3
Beans green raw,0.4
Beans haricot canned re-heated drained,1.0
Beans haricot whole dried boiled in unsalted water,0.5
Beans haricot whole dried raw,1.6
Beans mung dahl dried boiled in unsalted water,0.4
Beans mung dahl dried raw,1.1
Beans mung whole dried boiled in unsalted water,0.7
Beans mung whole dried raw,1.1
Beans papri raw,0.3
Beans pigeon peas dahl dried boiled in unsalted water,0.5
Beans pigeon peas dahl dried raw,1.9
Beans pigeon peas whole dried boiled in unsalted water,0.5
Beans pigeon peas whole dried raw,1.9
Beans pinto dried boiled in unsalted water,0.7
Beans pinto dried raw,1.6
Beans pinto re-fried beans,1.1
Beans red kidney canned in water re-heated drained,1.0
Beans red kidney dried boiled in unsalted water,1.0
Beans red kidney dried raw,1.4
Beans runner boiled in unsalted water,0.5
Beans runner raw,0.4
Beans soya dried boiled in unsalted water,7.3
Beans soya dried raw,18.6
Beans sword raw,0.3
Beansprouts mung boiled in unsalted water,0.5
Beansprouts mung raw,0.5
Beansprouts mung stir-fried in rapeseed oil,6.1
Beef bourguignon homemade,6.2
Beef bourguignonne made with lean beef homemade,4.2
Beef extract,0.6
Beef olives homemade,11.0
Beef steak pudding homemade,10.2
